index,DateTime,data,time,open,high,low,close,pctchange,name,chinese
4435,1315,2022/6/29,1110,236.25,237.16,235.9,236.14,0.00059322,568,泸州老窖
4436,1316,2022/6/29,1115,236.14,236.38,235.88,236.09,-0.000211739,568,泸州老窖
4437,1317,2022/6/29,1120,236,236.77,235.9,236.52,0.001821339,568,泸州老窖
4438,1318,2022/6/29,1125,236.56,236.57,235.9,235.9,-0.002621343,568,泸州老窖
4439,1319,2022/6/29,1130,235.94,236.11,235.6,236.1,0.000847817,568,泸州老窖
4440,1320,2022/6/29,1305,236.1,236.1,235.6,235.97,-0.000550614,568,泸州老窖
4441,1321,2022/6/29,1310,235.97,236.75,235.92,236.42,0.001907022,568,泸州老窖
4442,1322,2022/6/29,1315,236.53,236.53,235.61,235.75,-0.00283394,568,泸州老窖
4443,1323,2022/6/29,1320,235.75,236.14,235.59,235.6,-0.000636267,568,泸州老窖
4444,1324,2022/6/29,1325,235.6,235.65,235.15,235.65,0.000212224,568,泸州老窖
4445,1325,2022/6/29,1330,235.65,235.8,235.3,235.5,-0.000636537,568,泸州老窖
4446,1326,2022/6/29,1335,235.5,235.5,235.15,235.18,-0.001358811,568,泸州老窖
4447,1327,2022/6/29,1340,235.29,235.29,234.45,234.6,-0.002466196,568,泸州老窖
4448,1328,2022/6/29,1345,234.59,235.01,234.01,235.01,0.001747656,568,泸州老窖
4449,1329,2022/6/29,1350,235.04,236.15,234.68,236.06,0.004467895,568,泸州老窖
4450,1330,2022/6/29,1355,236.06,236.82,235.61,236.01,-0.000211811,568,泸州老窖
4451,1331,2022/6/29,1400,235.98,236.79,235.95,236.55,0.002288039,568,泸州老窖
4452,1332,2022/6/29,1405,236.63,236.8,235.23,236.42,-0.000549567,568,泸州老窖
4453,1333,2022/6/29,1410,236.43,236.45,235.71,236.14,-0.001184333,568,泸州老窖
4454,1334,2022/6/29,1415,236.15,236.93,235.87,236.93,0.003345473,568,泸州老窖
4455,1335,2022/6/29,1420,236.85,237.42,236.82,237.35,0.001772675,568,泸州老窖
4456,1336,2022/6/29,1425,237.33,237.5,236.63,236.71,-0.00269644,568,泸州老窖
4457,1337,2022/6/29,1430,236.71,236.9,236.45,236.51,-0.000844916,568,泸州老窖
4458,1338,2022/6/29,1435,236.47,236.51,235.2,235.26,-0.005285189,568,泸州老窖
4459,1339,2022/6/29,1440,235.35,235.8,235,235.34,0.000340049,568,泸州老窖
4460,1340,2022/6/29,1445,235.28,235.84,235,235.56,0.000934818,568,泸州老窖
4461,1341,2022/6/29,1450,235.56,235.7,234.9,235.1,-0.001952793,568,泸州老窖
4462,1342,2022/6/29,1455,235.22,235.5,235.12,235.5,0.001701404,568,泸州老窖
4463,1343,2022/6/29,1500,235.5,235.9,235.5,235.9,0.001698514,568,泸州老窖
4464,1344,2022/6/30,935,238,246.66,237,246.6,0.045358203,568,泸州老窖
4465,1345,2022/6/30,940,246.55,247.9,245.45,246.45,-0.000608273,568,泸州老窖
4466,1346,2022/6/30,945,246.3,247,245.6,246.76,0.001257862,568,泸州老窖
4467,1347,2022/6/30,950,246.76,247.5,245.84,245.86,-0.003647269,568,泸州老窖
